name,M_b_x,V_flat,M_b_y
NGC3972,,104.03487225255849,9323944600.0
NGC6503,,93.79427197521323,9507461600.0
UGC02259,,65.58993491112301,1736336600.0
NGC2903,,143.04361896858552,45445732800.0
UGC00634,,83.94346677678482,7973980700.0
UGC12732,,78.62070274704698,7307674000.0
UGC02885,,209.0232807739985,272650734000.0
F571-V1,,63.77666443315815,3077251300.0
NGC7814,,184.1305584604919,39157223000.0
ESO079-G014,,135.025422025661,31420846000.0
UGC05716,,61.59916858567008,2229176600.0
F568-V1,,85.11878553373349,6318829900.0
NGC3917,,101.98198021519975,14322683200.0
NGC3992,,168.83587614245107,142828011000.0
NGC0300,,70.59889312662258,3116690400.0
NGC4013,,124.84147545010198,44795326300.0
D564-8,,20.04535666217837,67798100.0
NGC5907,,150.8440426842888,124903556000.0
NGC1003,,82.12050840694009,13811132000.0
UGC04278,,65.9011792493009,2627592400.0
NGC6015,,114.1006127260686,26384262600.0
UGC06818,,64.92713277573407,2702643100.0
ESO116-G012,,80.79818991112975,4061718700.0
NGC5033,,132.76251299410103,75267808000.0
NGC0289,,114.31655706071136,84622454000.0
NGC7331,,174.67730839467214,144892403000.0
NGC6674,,168.06837416008477,164223735000.0
UGC01230,,77.32929712640694,15184027000.0
ESO563-G021,,212.82627075434664,198568679000.0
NGC2976,,85.88886956484353,1989750800.0
F571-8,,99.92475163533013,8234179800.0
UGC00128,,79.67981203855128,19154695900.0
UGC07866,,36.49919128417969,270730200.0
NGC7793,,89.75489780766591,5048022900.0
NGC5055,,124.81752588590707,97196099000.0
UGC11820,,61.77374316679575,3982115300.0
NGC5585,,74.57464942003494,4448558700.0
F574-2,,47.63471221923828,4447398900.0
UGC03546,,133.1642246163119,55399807500.0
NGC2366,,54.420339584350586,1262478300.0
NGC3521,,163.2837695315278,49766010600.0
UGC07690,,72.42680358886719,1118871000.0
NGC4214,,73.07244596237868,1430185400.0
UGC09133,,292.9887631004024,200593736000.0
DDO161,,56.09311401866386,2711544200.0
F583-1,,65.77934897880354,4253681400.0
UGC00191,,67.75616299349389,3377632700.0
NGC3726,,119.95948151149231,46567089700.0
UGC06973,,217.8409576416016,30035881700.0
UGC11455,,192.02546048636404,210749348000.0
UGC07559,,40.5136604309082,353444100.0
UGC08699,,125.61722621872144,31763148200.0
UGC04305,,55.70697021484375,1588541000.0
UGC06787,,153.84986675321943,58025567000.0
D631-7,,53.58795331611047,610981000.0
UGC05750,,52.57426857218751,3612021100.0
UGC07232,,66.67026138305664,137869400.0
NGC3769,,82.74115889073153,19119748100.0
NGC4068,,46.92186546325684,390410600.0
UGC08550,,52.10104982523423,653943200.0
UGC05005,,65.88024613413765,7521207700.0
UGC03205,,150.68145765951675,73938632000.0
DDO154,,38.9360856644114,512947500.0
ESO444-G084,,42.93496914797116,274301500.0
NGC4138,,305.19124970285293,24678778700.0
UGC06786,,140.85641309859574,45601067000.0
NGC2841,,184.36797141299544,111351564000.0
NGC3198,,104.46626797655288,38365714000.0
UGC04483,,62.8236026763916,63104800.0
UGC03580,,89.19331880718195,14363093000.0
PGC51017,,44.90436553955078,433048900.0
UGC08490,,54.37175004840326,1782108000.0
NGC0024,,69.02550088716339,3140276400.0
CamB,,35.52931594848633,58726800.0
UGC06614,,131.72197612557778,100892630000.0
NGC2403,,153.24386816821385,10679211100.0
UGC02455,,95.69003295898438,3244926700.0
UGC02953,,169.63312278761526,143340561000.0
NGC1705,,226.37672216691595,512377100.0
NGC2915,,75.07069397353763,1219101200.0
UGC05721,,64.68906195345971,1259621800.0
NGC3741,,231.42335403122192,335939800.0
