name,g_bar,g_obs,r_frac
D631-7,345.20110118499707,537.7705559646018,0.6271185858730531
D631-7,320.613887248757,481.7983803774944,0.6610169408390076
D631-7,296.50391126142307,1507.5010356273417,0.6949152958049621
D631-7,264.1255292062502,390.93337099784355,0.7288135281462784
D631-7,234.2383926183487,312.6675088273964,0.762711883112233
D631-7,218.2540735718448,656.0145043633445,0.7966101154535494
D631-7,201.0026187087234,815.1013834466149,0.8305084704195039
D631-7,189.5950689328304,256.4585821892029,0.8644067640731393
D631-7,170.65099990054136,204.93447169323127,0.8983050577267747
D631-7,163.88212464407613,594.5485751100442,0.9322034126927291
D631-7,156.821385437992,764.9101067756941,0.9661016450340457
D631-7,136.64341990060126,175.68478330224445,1.0
DDO064,1168.3877522896562,1519.7701150600687,0.016949152464019384
DDO064,1168.387723289516,1519.7700152911207,0.05084745739205816
DDO064,1168.3876753456557,1519.7699733016789,0.08474575769724065
DDO064,1168.3875890156548,1519.7698891802356,0.11864407187099198
DDO064,1168.387694721545,1519.769954372264,0.1525423675533182
DDO064,1168.3878081305802,1519.7701198920008,0.18644068172706954
DDO064,1168.38775758342,1519.770065631758,0.22033897740939576
DDO064,1153.400652738919,1494.5439682072456,0.2542372730917219
DDO064,1138.2163109849687,1468.8036651872314,0.2881355872654733
DDO064,1122.8264862946387,1442.5096229093203,0.3220338644563743
DDO064,1107.2230091190268,1415.6164943934034,0.35593219712155083
DDO064,1091.3963371586694,1388.0708375648385,0.38983052978672733
DDO064,1075.3368290008502,1359.8100620113366,0.4237287884862032
DDO064,1059.0338091642493,1330.7584278857696,0.45762712115137977
DDO064,1042.4757303859217,1300.8233983915816,0.4915254168337059
DDO064,1001.0728320423201,1235.4818046381222,0.5254237125160321
DDO064,957.8821461042191,1165.6117513548052,0.5593220451812086
DDO064,912.6498942977896,1089.7250507293863,0.5932203038806846
DDO064,865.0554950033642,1004.9112259367837,0.6271186365458609
DDO064,814.6855329819888,902.7971959242733,0.6610169692110376
DDO064,777.9637180790794,864.4916300156926,0.6949152279105134
DDO064,739.420523382522,824.335151984846,0.7288135605756899
DDO064,698.7543590934075,782.0244617392418,0.7627118192751658
DDO064,655.5705394830435,737.162947402466,0.7966101519403422
DDO064,631.8184000758508,701.7527658888555,0.8305084846055188
DDO064,607.137813893471,663.0333616755584,0.8644068172706952
DDO064,581.4105666509779,618.2589908067113,0.8983050759701713
